"","Country.Name","X2002..YR2002.","X2003..YR2003.","X2004..YR2004.","X2005..YR2005.","X2006..YR2006.","X2007..YR2007.","X2008..YR2008.","X2009..YR2009.","X2010..YR2010.","X2011..YR2011.","X2012..YR2012.","X2013..YR2013.","X2014..YR2014.","gerkmeans.cluster"
"135","Mozambique",54.83705902,77.3795819971429,67.25665283,72.14917755,75.81716919,80.69683838,84.13067627,85.37262726,86.91483307,84.93827057,85.35648346,86.54164886,87.55632782,8
"142","New Zealand",96.65480042,97.80169678,98.08080292,98.90444183,98.96819305,99.53024292,99.45913696,99.29821777,99.31358337,98.94052887,98.33248138,98.26602936,98.42878723,3
"144","Niger",34.29586029,38.0164299,41.49518967,41.80241013,42.52505875,43.78419113,47.82099915,51.6385994,54.6509819,59.38156891,61.25801849,61.77870941,61.01873016,6
"147","Norway",99.73963928,99.85574341,99.43080139,98.58247375,98.63913727,99.17321777,99.33680725,99.15959167,99.00771332,99.27304077,99.70134735,99.86459351,99.88796234,3
"149","Pakistan",59.03757095,61.0006218,66.63619995,68.74133301,66.28188324,71.12348938,71.91156006,73.31009674,74.67796326,71.74027252,71.30375671,70.05567932,72.97920227,2
"151","Panama",98.1145401,92.44702720625,98.02358246,97.64147186,98.1838913,97.99421692,97.53085327,95.14430237,97.35520172,96.82717896,96.59417725,95.8973465,81.46175003,5
"152","Papua New Guinea",97.209047699,98.1945228575,91.6443735766667,84.8549747475,96.43963623,85.8618309709091,99.9715499883333,92.366423036,99.9715499883333,98.060626985,86.01087189,98.8976530590909,92.1023330666667,5
"153","Paraguay",95.6307373,94.86489868,94.2161026,94.80883026,93.09816742,91.34175873,89.84886932,88.91356659,89.01390839,88.94908142,88.54506683,82.617462158,99.1354890318182,7
"154","Peru",97.69223022,99.53690338,96.5874176,96.27115631,96.20217133,95.998703,95.92118835,96.1459198,96.1712265,95.92321777,90.99105835,93.1593399,92.81157684,5
"156","Poland",95.76125336,95.40978241,95.06411743,94.77662659,95.01394653,95.17920685,95.420578,96.15473938,96.62336731,96.61450195,96.92891693,96.94361115,94.8583068842857,5
"160","Romania",90.90888977,93.84129333,95.62184906,94.16052246,92.76746368,92.57684326,88.5565033,88.99095154,88.8449173,88.34693146,86.98699951,96.1300735475,90.7258300771429,7
"165","Sao Tome and Principe",96.23319244,98.51531982,97.36052704,95.79785156,90.9005921683333,92.3028717,93.12088776,94.35325623,94.65856171,85.8618309709091,96.43963623,94.70871735,95.0563736,5
"168","Serbia",94.4232095091667,98.8139223371429,96.9199338628571,99.70359039,99.86248016,98.34468079,96.99485016,94.22315216,92.7472229,95.70456696,94.43076324,94.79515839,96.24176788,3
"171","Singapore",98.4837674227273,98.060626985,39.1867836,82.617462158,94.7290122290909,88.5276521971429,39.1867836,85.8618309709091,98.7474021925,92.6602105044444,98.7474021925,91.6497173308333,91.7482715945455,4
"174","Slovenia",94.58696747,95.69299316,97.7261734,97.0848465,96.64521027,97.40605927,97.39981079,97.25158691,97.24368286,97.10101318,97.67511749,97.38535309,97.73995209,3
"179","Spain",99.82824707,99.86628723,99.73950195,99.65618134,99.72084045,99.83843231,99.77748871,99.64344025,99.563797,99.62541962,99.6437912,99.46488953,98.93821716,3
"180","Sri Lanka",99.92472839,99.61672974,96.84809875,97.2529068,96.60333252,96.24604034,95.54279327,93.24038696,94.93064117,95.08434296,95.37126923,96.38272095,97.17662048,3
"181","St. Kitts and Nevis",93.79730225,94.51133728,94.55686188,93.44364929,96.4890899657143,86.83773804,80.03581238,89.2857132,83.18888092,84.5980072,81.02223206,79.46076965,78.96807098,7
"182","St. Lucia",97.47290039,95.93753815,94.31020355,91.94069672,94.26032257,93.04283905,96.73385075,81.3104209875,93.299302672,98.8976530590909,93.299302672,85.979747771,93.7196693425,5
"184","St. Vincent and the Grenadines",97.82655334,97.92175293,97.1264801,96.0693512,92.14272499,95.40891266,94.64138031,94.64118195,93.92923737,92.3197403,94.79341888,91.58258057,85.68197632,5
"187","Swaziland",72.38265991,72.57450104,75.15235901,76.14411163,82.15499878,84.74136353,58.28387324,82.617462158,72.16999817,97.228730774,86.313229371,78.50708008,92.30312856,8
"188","Sweden",99.5222168,99.15897369,96.94846344,95.45850372,95.14266968,96.28533936,98.47808075,99.32996368,99.37966919,99.47389221,99.59101105,99.42095184,99.47046661,3
"189","Switzerland",95.1740799,94.94316864,94.53682709,93.4917984,93.05577087,93.00778198,93.64730835,93.78296661,93.72110748,93.64006805,93.47995758,93.63890076,93.77429962,5
"190","Syrian Arab Republic",94.88272095,91.70567322,92.52017212,92.58045197,89.92221069,91.00946808,91.74508667,92.78710175,96.73385075,96.1300735475,72.16999817,66.66407776,95.210755921,1
"191","Tajikistan",95.85230255,96.95684052,96.90574646,97.43978119,97.28318787,96.16346741,97.57569122,97.18605804,97.62506104,97.32936096,97.78623962,98.00354004,96.75997925,3
"198","Tunisia",98.53331757,98.58550262,98.69954681,98.86972046,97.40632629,96.23335266,96.42722321,97.62204742,98.94512177,99.63420105,98.81273651,98.56517792,96.304823303,3
