"","X...Country.Name","X2002..YR2002.","X2003..YR2003.","X2004..YR2004.","X2005..YR2005.","X2006..YR2006.","X2007..YR2007.","X2008..YR2008.","X2009..YR2009.","X2010..YR2010.","X2011..YR2011.","X2012..YR2012.","X2013..YR2013.","X2014..YR2014.","X2015..YR2015.","gerkmeans.cluster"
"72","Georgia",31.1,28.9,26.7,24.6,22.7,20.9,19.3,17.9,16.6,15.5,14.4,13.4,12.6,11.9,2
"73","Germany",5.1,5,4.9,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4,3.9,3.8,3.7,4
"74","Ghana",94.2,91.3,88.7,86.5,84.4,82.2,79.9,77.4,74.7,71.9,69.2,66.5,64,61.6,8
"76","Greece",6.8,6.3,5.9,5.5,5.2,5,4.8,4.8,4.7,4.7,4.7,4.7,4.6,4.6,4
"78","Grenada",15.2,14.9,14.5,14.2,14,13.7,13.5,13.4,13.2,13,12.7,12.5,12.2,11.8,2
"80","Guatemala",46.6,44.8,43.1,41.4,39.9,38.4,36.9,35.7,34.5,33.3,32.1,31.1,30.1,29.1,9
"81","Guinea",155.8,149,142.7,136.7,131.2,125.9,121,116.3,111.9,107.7,104,100.4,97,93.7,3
"82","Guinea-Bissau",165.3,159,152.6,146.2,139.9,133.6,127.6,121.6,115.9,110.4,105.2,100.5,96.2,92.5,3
"83","Guyana",44.8,44,43.4,42.8,42.4,42.1,41.9,41.7,41.5,41.4,41.2,40.8,40.2,39.4,9
"84","Haiti",98.1,95.1,92.4,90,87.7,85.5,83.3,81.2,208.8,77.2,75.2,73.1,71,69,10
"85","Honduras",34.2,32.7,31.3,30,28.8,27.6,26.5,25.4,24.4,23.5,22.6,21.8,21.1,20.4,2
"87","Hungary",9.8,9.2,8.7,8.3,7.9,7.5,7.2,6.8,6.6,6.4,6.3,6.2,6.1,5.9,4
"88","Iceland",3.6,3.4,3.3,3.1,2.9,2.8,2.7,2.5,2.4,2.3,2.2,2.1,2.1,2,4
"89","India",84.3,81,77.7,74.6,71.5,68.5,65.6,62.7,59.9,57.2,54.5,52.1,49.8,47.7,6
"90","Indonesia",47.6,45.4,49.3,41.4,39.6,37.9,36.2,34.7,33.1,31.7,30.4,29.3,28.2,27.2,9
"91","Iran, Islamic Rep.",30.8,29,27.3,25.7,24.2,22.8,21.4,20.2,19.2,18.3,17.5,16.8,16.1,15.5,2
"92","Iraq",43,42.3,41.5,40.7,39.9,39.1,38.3,37.5,36.6,35.7,34.8,33.9,32.9,32,9
"93","Ireland",6.5,6.1,5.6,5.2,4.9,4.6,4.5,4.3,4.2,4.1,4,3.8,3.7,3.6,4
"95","Israel",6.4,6.1,5.8,5.6,5.3,5.1,4.9,4.7,4.6,4.4,4.3,4.2,4.1,4,4
"96","Italy",5,4.7,4.5,4.4,4.3,4.2,4.1,4.1,4,3.9,3.8,3.7,3.6,3.5,4
"97","Jamaica",20.9,20.4,20,19.7,19.5,19.2,18.9,18.5,18.1,17.6,17.2,16.7,16.2,15.7,2
"98","Japan",4.1,4,3.9,3.7,3.6,3.5,3.4,3.3,3.2,3.4,3,2.9,2.8,2.7,4
"99","Jordan",26.2,25.5,24.8,24.1,23.4,22.7,22.1,21.5,20.8,20.2,19.6,19,18.5,17.9,2
"100","Kazakhstan",39,36.8,34.7,32.5,30.3,28.1,25.9,23.7,21.6,19.6,17.9,16.4,15.1,14.1,2
"101","Kenya",99.9,95.4,90.6,85.5,80.7,76.1,70.1,65.8,62.1,58.5,55.6,53.4,51.3,49.4,8
"102","Kiribati",66.9,65.7,65.1,64.8,64.8,64.8,64.5,63.9,62.9,61.7,60.4,58.9,57.4,55.9,6
"103","Korea, Dem. People‰Ûªs Rep.",44.6,38.7,34.7,32.7,32.2,32.4,32.4,32.1,31.3,30.1,28.7,27.4,26.1,24.9,9
"104","Korea, Rep.",6.5,6.4,6,5.6,5.2,4.8,4.5,4.3,4.1,4,3.8,3.7,3.6,3.4,4
"106","Kuwait",12.3,12.1,11.9,11.7,11.6,11.5,11.3,11.1,10.8,10.3,9.9,9.4,9,8.6,4
"107","Kyrgyz Republic",44.4,42.5,40.8,39.3,37.9,36.3,34.4,32.3,30,27.8,25.7,24,22.6,21.3,9
"108","Lao PDR",109.2,105.1,101.1,97.2,93.5,89.8,86.2,82.8,79.7,76.7,74,71.3,69.1,66.7,1
"109","Latvia",15.1,14.3,13.4,12.5,11.8,11.1,10.5,9.9,9.4,9,8.7,8.4,8.2,7.9,4
"110","Lebanon",17.6,16.4,15.2,14.1,13,12.1,11.3,10.7,10.1,9.7,9.3,8.9,8.6,8.3,4
"111","Lesotho",120.4,122,123,123.4,123.2,119.3,116.5,106.5,100.7,96.8,94.1,93.6,92,90.2,3
"112","Liberia",157.6,145.9,134.8,124.7,115.7,107.8,100.9,94.7,89.3,84.5,80.3,76.3,72.9,69.9,7
"113","Libya",26.5,25.5,24.4,23.1,21.7,20.2,18.8,17.6,16.6,17.6,15.1,14.5,13.9,13.4,2
"115","Lithuania",10.9,10.5,10.2,9.9,9.5,8.8,8.1,7.4,6.7,6.1,5.6,5.3,5.2,5.2,4
"116","Luxembourg",4.3,4.1,3.8,3.5,3.3,3,2.8,2.6,2.4,2.3,2.1,2,2,1.9,4
"118","Macedonia, FYR",14.5,14.2,14,13.7,13.2,12.5,11.8,11,9.9,8.6,7.4,6.6,6,5.5,4
"119","Madagascar",97.2,91.5,85.9,80.6,75.4,70.8,66.7,63.3,60.3,57.8,55.5,53.4,51.5,49.6,8
"120","Malawi",148,135.2,124.6,116.2,109.9,104.9,100,95.4,90.9,84.5,77.3,71.3,66.9,64,7
"121","Malaysia",8.9,8.5,8.3,8.2,8.1,8,8,8,8,7.9,7.7,7.5,7.2,7,4
"122","Maldives",34.3,29.9,28.8,22.8,20.1,17.8,16,14.4,13,11.8,10.7,9.9,9.2,8.6,2
"123","Mali",201.8,191.8,181.7,171.8,162.9,155.1,148.3,142,136.6,131.7,127,122.7,118.3,114.7,5
"124","Malta",7.3,7.2,7,7,6.9,6.8,6.8,6.8,6.7,6.7,6.7,6.6,6.5,6.4,4
"125","Marshall Islands",41.1,40.7,40.4,40.2,39.9,39.7,39.5,39.3,39.1,38.8,38.3,37.8,37,36,9
"126","Mauritania",112.9,112.4,111.4,109.8,107.9,105.5,103,100.4,97.8,95.4,92.7,90.2,87.5,84.7,1
"127","Mauritius",16.1,15.6,15.6,15.7,15.9,16,15.8,15.5,15.2,14.9,14.6,14.3,13.9,13.5,2
"128","Mexico",22.6,21.4,20.4,19.5,18.9,18.4,17.9,17.4,16.8,16,15.3,14.5,13.8,13.2,2
"129","Micronesia, Fed. Sts.",51.6,50.2,48.8,47.4,45.9,44.6,43.1,42,40.7,39.4,38.2,37,35.8,34.7,9
"130","Moldova",25.4,23,21.1,19.7,18.7,18.1,17.7,17.4,17.2,16.9,16.7,16.4,16.1,15.8,2
"131","Monaco",4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4,3.9,3.8,3.7,3.6,3.5,4
"132","Mongolia",54.3,50.4,46.8,43.4,40.3,37.4,34.8,32.3,30,28,26.2,24.7,23.5,22.4,9
"133","Montenegro",12.6,11.9,11.1,10.4,9.6,8.9,8.1,7.4,6.8,6.2,5.7,5.3,5,4.7,4
"134","Morocco",45.8,43.9,42.1,40.4,38.8,37.3,35.8,34.5,33.1,31.9,30.7,29.7,28.6,27.6,9
"135","Mozambique",154.5,147.1,140.2,133.8,127.8,120.1,113.6,107.6,102.8,97.5,90.9,85.6,81.2,78.5,3
"136","Myanmar",77.5,75.2,72.8,70.5,68.1,65.8,87.2,61.4,59.3,57.2,55.3,53.5,51.7,50,6
"137","Namibia",75.8,75.2,73.9,71.7,68.4,64,60.1,56.7,53.8,51.6,49.9,47.7,46.4,45.4,6
"138","Nauru",39.5,39,38.8,38.7,39,39.3,39.7,39.7,39.4,38.8,38.1,37.2,36.3,35.4,9
"139","Nepal",71.5,67.4,63.5,60,56.6,53.6,50.7,48,45.4,43.1,40.9,39,37.4,35.8,6
"140","Netherlands",5.9,5.7,5.6,5.4,5.2,5,4.8,4.6,4.4,4.3,4.2,4,3.9,3.8,4
"142","New Zealand",7,6.9,6.7,6.6,6.5,6.4,6.4,6.3,6.2,6.1,6,5.9,5.8,5.7,4
"143","Nicaragua",36.4,34.7,33.2,31.7,30.4,29.2,28.1,27.1,26.1,25.2,24.4,23.5,22.8,22.1,9
"144","Niger",207,195.7,184.1,172.7,161.8,151.3,141.3,132.1,123.6,116.1,109.6,104.1,99.6,95.5,5
"145","Nigeria",175.6,169.9,164.1,158.1,152.2,146.4,140.9,135.5,130.3,125.5,120.9,116.6,112.5,108.8,5
"147","Norway",4.5,4.4,4.2,4,3.9,3.7,3.5,3.4,3.2,3.1,3,2.8,2.7,2.6,4
"148","Oman",14.6,13.8,13.2,12.7,12.3,12.1,11.9,11.7,11.7,11.6,11.6,11.7,11.6,11.6,4
"149","Pakistan",107.5,105.3,103.2,101.2,99.3,97.4,95.5,93.7,91.8,89.9,87.8,85.6,83.3,81.1,1
"150","Palau",25.1,24.4,23.6,22.9,22.1,21.4,20.7,20.1,19.4,18.8,18.2,17.5,17,16.4,2
"151","Panama",24.8,24.1,23.5,22.9,22.3,21.7,21,20.5,19.8,19.2,18.7,18.1,17.6,17,2
"152","Papua New Guinea",77,76.1,75.2,74.2,72.9,71.5,69.7,67.9,66.1,64.3,62.5,60.9,59.1,57.3,6
"153","Paraguay",31.5,30.4,29.4,28.4,27.5,26.6,25.7,24.9,24.1,23.3,22.6,21.9,21.2,20.5,2
"154","Peru",33.3,31.1,29.1,27.4,25.9,24.5,23.2,22.1,21,20,19.1,18.3,17.5,16.9,2
"155","Philippines",38.1,37.3,36.5,35.7,34.9,34.2,33.4,32.6,31.9,31.2,30.4,29.6,28.8,28,9
"156","Poland",8.4,8.1,7.8,7.6,7.3,7,6.7,6.2,5.8,5.5,5.3,5.2,5.2,5.2,4
"157","Portugal",6.1,5.6,5.1,4.7,4.4,4.2,4.1,4,3.9,3.8,3.8,3.8,3.7,3.6,4
"159","Qatar",11.5,11.1,10.7,10.3,10,9.7,9.5,9.2,9,8.8,8.6,8.4,8.2,8,4
"160","Romania",24.9,23.7,22.4,20.9,19.2,17.6,16.1,14.9,13.9,13.2,12.5,12,11.5,11.1,2
"161","Russian Federation",20.7,19.3,18,16.7,15.5,14.4,13.5,12.7,12,11.4,10.8,10.4,9.9,9.6,2
"162","Rwanda",154.7,139.4,124.4,110.7,98.6,87.8,78.3,70.6,64.1,57.7,52.1,47.8,44.3,41.7,7
"163","Samoa",20.4,20,19.6,19.3,19.1,18.9,18.8,24.1,18.7,18.6,18.5,18.2,17.9,17.5,2
"164","San Marino",4.9,4.6,4.4,4.2,4,3.9,3.7,3.6,3.5,3.4,3.2,3.1,3,2.9,4
"165","Sao Tome and Principe",81.5,77.6,73.7,70.1,66.7,63.6,61,58.5,56.4,54.4,52.4,50.8,49,47.3,6
"166","Saudi Arabia",21.3,20.7,20.1,19.7,19.2,18.7,18.1,17.6,17,16.5,16,15.5,15,14.5,2
"167","Senegal",120.7,112.5,104.2,96.2,88.8,82,75.8,70.1,64.8,60,55.9,52.5,49.7,47.2,8
"168","Serbia",11.6,10.6,9.6,8.9,8.4,8.1,8,7.8,7.6,7.3,7.1,6.9,6.8,6.7,4
"169","Seychelles",14.3,14.3,14.3,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14,13.8,13.6,2
"170","Sierra Leone",223.9,217.4,210.8,203.7,196.2,188,179.1,169.9,160.2,150.6,141.6,133.4,126.4,120.4,5
"171","Singapore",3.4,3.2,3,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.7,4
"173","Slovak Republic",10.9,10.6,10.2,9.9,9.5,9.2,8.9,8.6,8.4,8.1,7.9,7.7,7.5,7.3,4
"174","Slovenia",5,4.7,4.5,4.3,4,3.8,3.6,3.5,3.3,3.1,3,2.8,2.7,2.6,4
"175","Solomon Islands",32.8,32.9,33.1,33.2,33.4,33.3,33.1,32.6,32.1,31.4,30.7,29.9,28.9,28.1,9
"176","Somalia",174.4,174.4,174.4,174.3,173.7,171.8,168.5,164.4,160.2,155.3,150.6,146.1,141.2,136.8,5
"177","South Africa",78.1,78.1,76.8,75.2,73.1,71.3,68.4,63.5,53.8,49.8,47.7,43.4,41.4,40.5,6
"178","South Sudan",163.8,155.2,147,139.3,132.1,125.7,120,115.2,110.9,106.7,102.8,99.2,95.6,92.6,3
"179","Spain",6.2,6.1,5.9,5.7,5.5,5.2,5,4.8,4.6,4.5,4.4,4.3,4.2,4.1,4
"180","Sri Lanka",15.4,15.1,28.9,14,13.2,12.5,11.8,11.3,10.9,10.6,10.4,10.2,10,9.8,2
"181","St. Kitts and Nevis",17.1,16.4,15.8,15.2,14.6,14,13.5,13,12.5,12.1,11.7,11.3,10.9,10.5,2
"182","St. Lucia",17.4,17.3,17.2,17.1,17,16.8,16.6,16.3,16.1,15.8,15.4,15.1,14.7,14.3,2
"184","St. Vincent and the Grenadines",22,21.9,21.8,21.8,21.7,21.6,21.4,21.1,20.8,20.3,19.8,19.3,18.8,18.3,2
"185","Sudan",100.2,97.3,94.5,91.9,89.3,87,84.7,82.4,80.2,78.2,76.3,74.2,72.2,70.1,1
"186","Suriname",32.1,31.1,30.1,29.2,28.3,27.4,26.4,25.6,24.9,24.1,23.4,22.6,21.9,21.3,2
"187","Swaziland",133.1,133.7,132.7,130.2,122.7,117.2,113.8,104.2,88.4,79.1,72.6,67.6,62.6,60.7,7
"188","Sweden",4,3.9,3.7,3.6,3.4,3.3,3.2,3.1,3.1,3,3,3,3,3,4
"189","Switzerland",5.5,5.3,5.2,5.1,5,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4,3.9,4
"190","Syrian Arab Republic",21.4,20.5,19.6,18.8,18,17.3,16.5,15.9,15.3,15,16,15.3,14.3,12.9,2
"191","Tajikistan",80.4,74.6,69.5,65.2,61.5,58.6,56.2,54.3,52.6,50.9,49.3,47.8,46.3,44.8,6
"192","Tanzania",114.7,106.9,99.4,92.4,85.8,79.5,73.7,68.6,63.4,58.9,55.7,53.3,50.5,48.7,8
"193","Thailand",20.5,19.6,18.7,17.8,17,16.3,15.6,15,14.5,14,13.5,13.1,12.6,12.3,2
"194","Timor-Leste",99.1,93.7,88.4,83.3,78.5,74.1,70.2,66.7,63.8,61.1,58.7,56.5,54.5,52.6,8
"195","Togo",114.4,111.2,108.1,105.1,102.1,99.2,96.4,93.6,90.9,88.3,85.8,83.3,80.8,78.4,1
"196","Tonga",17,16.8,16.7,16.7,16.7,16.8,17,17.2,17.4,17.5,17.5,17.3,17.1,16.7,2
"197","Trinidad and Tobago",28.3,28,27.5,26.9,26.3,25.6,24.9,24.3,23.6,22.9,22.2,21.5,20.9,20.4,2
"198","Tunisia",27.8,26,24.5,23,21.7,20.5,19.4,18.3,17.4,16.5,15.8,15.2,14.6,14,2
"199","Turkey",34.4,32,29.7,27.7,25.7,23.9,22.2,20.6,19.1,17.8,16.5,15.4,14.3,13.5,2
"200","Turkmenistan",76.9,74.7,72.4,70.1,68,66,63.9,61.9,60.1,58.2,56.5,54.7,53.1,51.4,6
"202","Tuvalu",39.8,38.7,37.6,36.6,35.6,34.6,33.6,32.6,31.7,30.7,29.8,28.9,28,27.1,9
"203","Uganda",132.8,124.2,115.6,107.4,99.7,92.5,85.9,80.1,75.2,69.8,64.1,60.3,56.9,54.6,7
"204","Ukraine",16.7,15.9,15.1,14.5,14,13.4,12.9,12.3,11.8,11.2,10.6,10,9.5,9,4
"205","United Arab Emirates",10.6,10.3,10.1,9.8,9.6,9.4,9.1,8.8,8.5,8.2,7.8,7.4,7.1,6.8,4
"206","United Kingdom",6.3,6.3,6.1,6,5.9,5.8,5.6,5.4,5.2,5,4.8,4.6,4.4,4.2,4
"207","United States",8.2,8.1,8.1,8,7.9,7.8,7.7,7.5,7.4,7.2,7.1,6.9,6.7,6.5,4
"208","Uruguay",15.8,15.3,14.8,14.3,13.8,13.3,13,12.7,12.3,12,11.6,11.1,10.6,10.1,4
"209","Uzbekistan",59.6,57.8,56,54.2,52.5,50.8,49.2,47.6,46.1,44.6,43.2,41.8,40.4,39.1,6
"210","Vanuatu",27.9,27.9,27.9,27.9,28,28.2,28.2,28.4,28.5,28.6,28.6,28.4,28.1,27.5,9
"211","Venezuela, RB",20.4,19.8,19.2,18.5,17.9,17.4,17.1,16.8,16.6,16.4,16.1,15.7,15.3,14.9,2
"212","Vietnam",31.4,30.4,29.4,28.5,27.7,26.9,26.2,25.5,24.8,24.2,23.5,22.9,22.3,21.7,2
"214","West Bank and Gaza",28.2,27.5,26.9,26.3,25.8,25.2,24.7,24.2,23.8,23.3,22.8,22.3,21.7,21.1,2
"215","Yemen, Rep.",85.9,81.3,76.8,72.6,68.5,64.7,61,57.6,54.2,51.1,48.4,46,43.8,41.9,6
"216","Zambia",142.9,131.2,120.6,111.7,104.5,98,93.1,87.4,82.1,78.6,74.4,70.2,66.6,64,7
"217","Zimbabwe",105.1,104,103,101.9,100,98,95.4,92.9,89.5,85.6,78.5,74.5,72.3,70.7,1
