"att1";"1972 [YR1972]";"1973 [YR1973]";"1974 [YR1974]";"1975 [YR1975]";"1976 [YR1976]";"1977 [YR1977]";"1978 [YR1978]";"1979 [YR1979]";"1980 [YR1980]";"1981 [YR1981]";"1982 [YR1982]";"1983 [YR1983]";"1984 [YR1984]";"1985 [YR1985]";"1986 [YR1986]";"1987 [YR1987]";"1988 [YR1988]";"1989 [YR1989]";"1990 [YR1990]";"1991 [YR1991]";"1992 [YR1992]";"1993 [YR1993]";"1994 [YR1994]";"1995 [YR1995]";"1996 [YR1996]";"1997 [YR1997]";"1998 [YR1998]";"1999 [YR1999]";"2000 [YR2000]";"2001 [YR2001]";"2002 [YR2002]";"2003 [YR2003]";"2004 [YR2004]";"2005 [YR2005]";"2006 [YR2006]";"2007 [YR2007]";"Country Name";"Series Code";"Series Name"
14401.0;;;;;;;;;;;;;;;;;;;18.8;17.5;16.3;15.4;14.6;14.0;13.5;13.1;12.8;12.6;12.5;12.5;12.5;12.6;12.7;12.8;13.0;13.2;"Australia";"SH.ANM.CHLD.ZS";"Prevalence of anemia among children (% of children under 5)"
14402.0;;;;;;;;;;;;;;;;;;;29.1;28.5;27.9;27.4;26.9;26.3;25.8;25.3;24.8;24.4;24.0;23.7;23.5;23.4;23.5;23.5;23.7;23.8;"Australia";"SH.PRG.ANEM";"Prevalence of anemia among pregnant women (%)"
14403.0;;;;;;;;;;;;;;;;;;;;;;;;8.19999980926514;;;;;;;;;;;;8.0;"Australia";"SH.STA.OWGH.ZS";"Prevalence of overweight (% of children under 5)"
14406.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;"Australia";"SH.SVR.WAST.ZS";"Prevalence of severe wasting, weight for height (% of children under 5)"
14410.0;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;0.0;"Australia";"SH.STA.WAST.ZS";"Prevalence of wasting (% of children under 5)"
14416.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;"Australia";"SE.PRM.DURS";"Primary education, duration (years)"
14417.0;1682318.0;1672939.0;1596281.0;1632716.0;1638955.0;1671517.0;1699306.0;1711232.0;1718352.0;1711037.0;1690779.0;1650567.0;1605258.0;1542101.0;1520210.0;1514575.0;1529781.0;1555230.0;1583024.0;1605720.0;1623012.0;1633797.0;1639577.0;1833681.0;1848169.0;1855789.0;1869852.0;1885341.0;1905951.0;1914395.0;1933765.0;1931817.0;1934549.0;1934941.0;1938861.0;1973456.0;"Australia";"SE.PRM.ENRL";"Primary education, pupils"
14418.0;48.61501;48.6313;48.65929;48.53784;48.55789;48.62715;48.65257;48.65822;48.62898;48.5754;48.57341;48.49309;48.41508;48.56699;48.57691;48.59099;48.63513;48.63011;48.5992;48.60162;48.6384;48.64784;48.66767;48.64499;48.65248;48.64077;48.65631;48.67523;48.63367;48.63918;48.60689;48.62008;48.61707;48.59218;48.60962;48.59936;"Australia";"SE.PRM.ENRL.FE.ZS";"Primary education, pupils (% female)"
14419.0;69496.0;70911.0;73745.0;78390.0;81747.0;85855.0;87878.0;90668.0;;91386.0;;;102853.0;;90685.0;91252.0;91979.0;92820.0;;96779.0;97955.0;98526.0;;101035.0;102267.0;103774.0;104500.0;105469.0;;;;;;;;;"Australia";"SE.PRM.TCHR";"Primary education, teachers"
14420.0;54.19017;70.47849;70.86311;71.67368;71.55981;71.50428;71.01777;70.78021;;69.99322;;;71.83067;;70.94227;71.35624;71.72724;72.27106;;73.7381;74.16875;74.44837;;76.08749;76.16729;76.89402;;;;;;;;;;;"Australia";"SE.PRM.TCHR.FE.ZS";"Primary education, teachers (% female)"
14422.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.79259089942816E10;5.88471091395951E10;7.91250395897093E10;"Australia";"BM.GSR.FCTY.CD";"Primary income payments (BoP, current US$)"
14423.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.98283160061831E10;2.62980838690357E10;3.79755512081754E10;"Australia";"BX.GSR.FCTY.CD";"Primary income receipts (BoP, current US$)"
14424.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;"Australia";"SE.PRM.AGES";"Primary school starting age (years)"
14436.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;95.4;100.0;100.0;100.0;"Australia";"IC.CRD.PRVT.ZS";"Private credit bureau coverage (% of adults)"
14437.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.0;11.0;11.0;"Australia";"IC.WRH.PROC";"Procedures to build a warehouse (number)"
14438.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29.0;29.0;29.0;28.0;28.0;"Australia";"IC.LGL.PROC";"Procedures to enforce a contract (number)"
14439.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;5.0;5.0;5.0;"Australia";"IC.PRP.PROC";"Procedures to register property (number)"
14444.0;;;;;;;;;;;;;;;;;;;6.1;;;;;;;15.5;15.5;22.4;23.0;;25.3;25.3;24.7;24.7;24.7;26.700000000000003;"Australia";"SG.GEN.PARL.ZS";"Proportion of seats held by women in national parliaments (%)"
